walkid,id,time,lat,lon,img,numPeaks,max,avg,min,year,month,day,hour,minute,second,dayofweek,dayname
track12,2014-07-23_17-57-53_37.76486929_-122.419551,2014-07-23_17-57-53,37.76486929,-122.419551,2014-07-23_17-57-53_37.76486929_-122.419551.wav,9,24405.9832852359,8896.353264143,3056.7767115894,2014,7,23,17,57,53,2,Wednesday
track12,2014-07-23_18-01-15_37.76490407_-122.42164015,2014-07-23_18-01-15,37.76490407,-122.42164015,2014-07-23_18-01-15_37.76490407_-122.42164015.wav,9,36818.6012312852,28177.4704637728,19815.1907356327,2014,7,23,18,1,15,2,Wednesday
track12,2014-07-23_17-59-37_37.76497991_-122.42017674,2014-07-23_17-59-37,37.76497991,-122.42017674,2014-07-23_17-59-37_37.76497991_-122.42017674.wav,9,30527.1162730947,26888.7734511311,21970.3139487121,2014,7,23,17,59,37,2,Wednesday
track12,2014-07-23_18-08-42_37.76016898_-122.42156514,2014-07-23_18-08-42,37.76016898,-122.42156514,2014-07-23_18-08-42_37.76016898_-122.42156514.wav,9,33121.1073052763,17466.6317264587,10363.7029058931,2014,7,23,18,8,42,2,Wednesday
track12,2014-07-23_18-05-33_37.76238007_-122.42177226,2014-07-23_18-05-33,37.76238007,-122.42177226,2014-07-23_18-05-33_37.76238007_-122.42177226.wav,9,19390.7339274995,10271.2981430853,4893.0339549379,2014,7,23,18,5,33,2,Wednesday
track12,2014-07-23_18-04-51_37.76288591_-122.42176473,2014-07-23_18-04-51,37.76288591,-122.42176473,2014-07-23_18-04-51_37.76288591_-122.42176473.wav,9,4799.9790910198,3507.1458509469,2228.1840094101,2014,7,23,18,4,51,2,Wednesday
track12,2014-07-23_18-12-21_37.75777952_-122.42131245,2014-07-23_18-12-21,37.75777952,-122.42131245,2014-07-23_18-12-21_37.75777952_-122.42131245.wav,9,17894.8028627701,12407.2911528894,7414.2385328869,2014,7,23,18,12,21,2,Wednesday
track12,2014-07-23_17-58-25_37.76501002_-122.41961984,2014-07-23_17-58-25,37.76501002,-122.41961984,2014-07-23_17-58-25_37.76501002_-122.41961984.wav,9,29644.9314991081,24406.5399701822,16588.0877736404,2014,7,23,17,58,25,2,Wednesday
track12,2014-07-23_18-04-29_37.7631281_-122.42180392,2014-07-23_18-04-29,37.7631281,-122.42180392,2014-07-23_18-04-29_37.7631281_-122.42180392.wav,9,12421.6272328681,7913.8427562375,5232.7897126457,2014,7,23,18,4,29,2,Wednesday
track12,2014-07-23_18-07-59_37.76070157_-122.42165859,2014-07-23_18-07-59,37.76070157,-122.42165859,2014-07-23_18-07-59_37.76070157_-122.42165859.wav,9,7661.1527140472,6138.6695100779,4613.6637266336,2014,7,23,18,7,59,2,Wednesday
